,Length,price_clean,cluster
579,6.7,29999.0,0
580,5.5,30900.0,0
581,10.0,30900.0,0
582,6.05,30825.0,0
583,5.7,30820.0,0
584,5.07,30820.0,0
585,6.05,30810.0,0
586,6.05,30781.0,0
587,7.8,33000.0,0
588,10.3,33000.0,0
590,5.7,30699.0,0
591,6.12,30645.0,0
592,5.6,33000.0,0
593,8.5,33000.0,0
594,6.03,32730.0,0
595,5.5,30500.0,0
596,7.8,32000.0,0
597,8.73,32000.0,0
598,7.0,32000.0,0
599,6.5,34500.0,0
600,9.0,31900.0,0
601,7.23,31900.0,0
602,7.62,31900.0,0
603,6.7,31900.0,0
604,5.2,31830.0,0
606,12.5,31800.0,0
607,6.12,34340.0,0
608,8.23,31690.0,0
609,10.8,34000.0,0
610,8.6,32500.0,0
611,6.5,32500.0,0
612,6.4,32500.0,0
613,7.6,32500.0,0
614,6.99,32500.0,0
615,39.13,32500.0,1
616,9.4,32500.0,0
617,10.8,32500.0,0
618,9.95,32500.0,0
619,8.85,32500.0,0
620,10.3,32500.0,0
621,11.5,32500.0,0
622,8.76,32500.0,0
623,11.65,32490.0,0
624,6.24,32490.0,0
625,7.3,33000.0,0
626,11.34,33000.0,0
627,6.3,33000.0,0
628,5.79,33000.0,0
629,9.28,33000.0,0
630,10.6,33000.0,0
631,7.62,33000.0,0
632,7.0,33000.0,0
633,7.23,33000.0,0
634,6.52,33000.0,0
635,8.05,33000.0,0
636,9.1,33000.0,0
637,6.1,33000.0,0
638,7.3,33000.0,0
639,8.39,33000.0,0
640,8.5,33000.0,0
641,5.72,34000.0,0
642,6.17,34000.0,0
643,7.65,34000.0,0
644,9.2,34000.0,0
645,7.3,34000.0,0
646,7.5,34000.0,0
647,7.92,34000.0,0
648,6.8,33950.0,0
649,7.1,33950.0,0
650,7.45,33900.0,0
651,7.9,33900.0,0
652,9.5,33900.0,0
653,8.0,33900.0,0
654,8.46,33900.0,0
655,5.64,33900.0,0
656,5.5,34900.0,0
657,6.4,34900.0,0
658,7.5,34900.0,0
659,8.44,34900.0,0
660,7.45,34900.0,0
661,7.49,34900.0,0
662,9.0,34900.0,0
663,7.0,34900.0,0
664,8.0,34900.0,0
665,6.82,34900.0,0
666,11.7,34900.0,0
667,13.0,34900.0,0
668,6.4,34828.0,0
669,7.75,34800.0,0
670,7.0,34800.0,0
671,7.92,35000.0,0
672,6.83,35000.0,0
673,6.23,35000.0,0
674,9.3,35000.0,0
675,6.15,35000.0,0
676,8.25,35000.0,0
677,7.25,35000.0,0
678,8.35,35000.0,0
679,7.6,35000.0,0
680,7.75,35000.0,0
681,9.7,35000.0,0
682,6.35,35000.0,0
683,9.69,35000.0,0
684,9.95,35000.0,0
685,9.5,35000.0,0
686,9.7,35000.0,0
687,6.2,35499.0,0
688,5.94,35450.0,0
689,5.56,35419.0,0
690,6.9,35400.0,0
691,5.7,35250.0,0
692,5.75,35200.0,0
693,5.75,35200.0,0
694,6.02,35160.0,0
695,11.5,38000.0,0
696,7.3,38000.0,0
697,7.16,38000.0,0
698,5.3,38000.0,0
699,6.94,38000.0,0
700,6.55,35150.0,0
701,6.74,35115.0,0
702,6.58,37950.0,0
703,7.19,36414.0,0
704,7.74,36414.0,0
705,8.04,39000.0,0
706,7.8,39000.0,0
707,6.8,36300.0,0
708,6.0,270000.0,0
709,5.73,39220.0,0
710,6.6,39200.0,0
711,6.6,36250.0,0
712,6.02,39170.0,0
713,5.8,36228.0,0
714,5.0,269000.0,0
715,7.5,39000.0,0
716,6.65,39000.0,0
717,7.15,38950.0,0
718,7.87,36000.0,0
719,6.06,40459.0,0
720,7.8,40000.0,0
721,6.74,40290.0,0
722,6.8,39900.0,0
723,5.94,40040.0,0
724,7.15,40000.0,0
725,6.4,37000.0,0
726,5.66,37000.0,0
727,8.1,37000.0,0
728,6.43,37000.0,0
729,7.8,37000.0,0
730,7.28,37000.0,0
731,7.3,37000.0,0
732,8.86,37000.0,0
733,7.32,37000.0,0
734,8.4,38000.0,0
735,7.36,38000.0,0
736,7.62,38000.0,0
737,6.0,38000.0,0
738,7.75,38000.0,0
739,6.23,38000.0,0
740,10.0,38000.0,0
741,7.75,38000.0,0
742,9.7,38000.0,0
743,8.99,38000.0,0
744,12.4,38000.0,0
745,6.5,38000.0,0
746,11.8,38000.0,0
747,7.8,38000.0,0
748,9.18,38000.0,0
749,8.85,38000.0,0
750,5.75,38900.0,0
751,6.5,38900.0,0
752,6.1,38900.0,0
753,8.35,38900.0,0
754,5.94,38900.0,0
755,9.0,38900.0,0
756,5.3,42000.0,0
757,6.4,42000.0,0
758,5.6,42000.0,0
759,6.0,289000.0,0
760,7.43,38794.0,0
761,7.43,38794.0,0
762,6.0,38748.0,0
763,5.56,38700.0,0
764,8.5,42000.0,0
765,9.0,42000.0,0
766,5.49,42270.0,0
767,6.05,39000.0,0
768,9.92,39000.0,0
769,8.6,39000.0,0
770,11.0,39000.0,0
771,9.3,39000.0,0
772,11.68,39000.0,0
773,9.14,39000.0,0
774,9.6,39000.0,0
775,9.45,39000.0,0
776,12.8,39000.0,0
777,8.5,39000.0,0
778,8.57,39000.0,0
779,6.22,39000.0,0
780,6.6,39888.0,0
781,8.1,39800.0,0
782,6.04,39800.0,0
783,6.1,43000.0,0
784,8.35,39750.0,0
785,6.4,39642.0,0
786,6.5,39600.0,0
787,6.5,42800.0,0
788,9.24,42800.0,0
789,7.8,39590.0,0
790,6.8,39500.0,0
791,8.6,39500.0,0
792,8.46,39500.0,0
793,9.14,39500.0,0
794,5.75,39999.0,0
795,6.1,39999.0,0
796,10.5,39990.0,0
797,5.94,39990.0,0
798,6.2,39990.0,0
799,10.92,39990.0,0
800,11.0,39990.0,0
801,9.8,39990.0,0
802,8.4,39950.0,0
803,7.2,39950.0,0
